date,close
2022-12-02,117.30
2022-12-05,117.45
2022-12-06,115.30
2022-12-07,114.60
2022-12-08,113.25
2022-12-09,115.00
2022-12-12,113.90
2022-12-13,113.40
2022-12-14,114.80
2022-12-15,114.90
2022-12-16,113.00
2022-12-19,112.35
2022-12-20,110.30
2022-12-21,110.75
2022-12-22,112.60
2022-12-23,110.70
2022-12-26,111.10
2022-12-27,111.60
2022-12-28,110.00
2022-12-29,109.50
2022-12-30,110.20
2023-01-03,110.75
2023-01-04,110.50
2023-01-05,111.30
2023-01-06,111.80
2023-01-09,115.80
2023-01-10,116.25
2023-01-11,116.35
2023-01-12,115.85
2023-01-13,117.20
2023-01-16,118.10
2023-01-17,118.10
2023-01-30,120.70
2023-01-31,118.30
2023-02-01,119.00
2023-02-02,121.00
2023-02-03,121.00
2023-02-06,119.25
2023-02-07,119.00
2023-02-08,120.85
2023-02-09,120.90
2023-02-10,121.00
2023-02-13,120.75
2023-02-14,121.65
2023-02-15,118.85
2023-02-16,120.30
2023-02-17,118.75
2023-02-20,119.00
2023-02-21,118.95
2023-02-22,117.65
2023-02-23,119.40
2023-02-24,118.80
2023-03-01,119.35
2023-03-02,119.25
2023-03-03,119.35
2023-03-06,120.50
2023-03-07,121.30
2023-03-08,120.30
2023-03-09,120.20
2023-03-10,118.30
2023-03-13,118.80
2023-03-14,117.50
2023-03-15,117.60
2023-03-16,117.05
2023-03-17,118.95
2023-03-20,118.10
2023-03-21,118.65
2023-03-22,120.90
2023-03-23,121.85
2023-03-24,122.20
2023-03-27,121.45
2023-03-28,120.40
2023-03-29,120.60
2023-03-30,121.20
2023-03-31,121.60
2023-04-06,121.00
2023-04-07,121.00
2023-04-10,121.00
2023-04-11,120.85
2023-04-12,120.55
2023-04-13,119.50
2023-04-14,120.65
2023-04-17,120.35
2023-04-18,119.95
2023-04-19,119.05
2023-04-20,118.90
2023-04-21,118.60
2023-04-24,118.15
2023-04-25,116.60
2023-04-26,116.10
2023-04-27,116.00
2023-04-28,117.40
2023-05-02,117.70
2023-05-03,117.20
2023-05-04,117.50
